Hypogastruidae	Poduridae	Sminthuridae	Entomobryidae	Isotomidae	Bdelidae	Phthiracaridae	Eupthiracaridae	Trhypochthoniidae	Oppiidae	Eremulidae	Phytoseiidae	Oribatellidae	Haplozetidae	Hyopochthoniidae	Oribatulidae	Liacaridae	Mycobatidae	Hemileiidae	Ceratozetidae	Cepheidae	Parakalummidae	Galumnidae	Hermanniellidae	Achipteriidae	Camisiidae	Carbodidade	Cymbaeremaeidae	Damaeidae	Neoliodidae	Suctobelbidae	Tectocepheidae	Ctenacaridae	Ascidae	Pyroglyphidae	Tetranychidae	Tydeidae	Acaridae	Ologamastidae	Cunaxidae	Erythraeidae	Thripidae	Phlaeothripidae	Psocidae	Phoridae	Cecidomyiidae	Chironomidae	Mycetophilidae	Sciaridae	Aphididae	Liposcelididae	Psocidae	Miridae	Staphylinidae	Nitidulidae	Erotylidae	Mymaridae	Anthocoridae	Hydroptilidae	Dictynidae	Araneidae	Corinnidae	Plectreuridae	Homoalonnychidae	Gnaphosidae	Zoridae	Garypinidae	Xystodesmidae	Julidae	Lithobiidae
22	0	0	0	4	1	0	0	0	11	0	1	0	0	0	2	0	0	3	0	0	5	0	0	0	0	0	0	0	2	0	0	0	1	0	1	0	6	3	0	0	19	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
9	0	1	0	5	0	0	0	0	12	0	0	0	0	0	1	0	0	1	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
2	0	1	2	1	0	0	0	0	5	0	1	0	0	0	7	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0	3	7	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
5	0	2	0	6	1	0	0	0	8	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	6	5	2	3	2	1	0	8	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
16	0	1	2	18	1	0	0	0	4	0	1	2	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10	3	1	39	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	0	0	0	0	2	0	0	0	2	0	0	0	0	0	2	0	0	1	4	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0	2	0	0	2	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	6	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	0	2	1	9	4	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	7	3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	0	0	1	0	1	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0	0	0	9	1	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	2	0	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	1	1	46	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
